model,clean,totparams,trainparams,epochtime,nepochs,rmsle
BoW,0,6678049,6678049,250,20,0.4485570192337036
BoW_clean,1,6225953,6225953,250,19,0.45095449686050415
TfIdf,0,6678049,6678049,35,20,0.45762693881988525
TfIdf_clean,1,6225953,6225953,35,20,0.4540041983127594
GloVe6B,0,119191497,75297,117,39,0.4724872410297394
GloVe6B_clean,1,90674697,75297,118,53,0.47024935483932495
GloVe840B,0,119191497,75297,135,40,0.4607028365135193
GloVe840B_clean,1,90674697,75297,121,40,0.46331363916397095
Bert,0,66543009,180129,1600,5,0.5576
NonText,0,769,769,14,40,0.6563467383384705
Keras_clean,1,15119197,15119197,520,13,0.4606674015522003
